x,lx,qx,ax,Ax,A2x,5Ex,10Ex,20Ex
0,10000000,0.00442,16.8010,0.04900,0.002592,0.072854,0.054195,0.029989
5,9749503,0.00098,17.0379,0.03559,0.000845,0.074389,0.055348,0.030590
10,9705588,0.00085,16.9119,0.04272,0.000937,0.074404,0.055334,0.030524
15,9663731,0.00091,16.7384,0.05255,0.001133,0.074371,0.055269,0.030396
20,9617802,0.00103,16.5133,0.06528,0.001430,0.074316,0.055164,0.030193
21,9607896,0.00106,16.4611,0.06824,0.001506,0.074301,0.055136,0.030140
22,9597695,0.00110,16.4061,0.07135,0.001587,0.074286,0.055106,0.030082
23,9587169,0.00113,16.3484,0.07462,0.001676,0.074268,0.055073,0.030019
24,9576288,0.00118,16.2878,0.07805,0.001771,0.074249,0.055036,0.029949
25,9565017,0.00122,16.2242,0.08165,0.001875,0.074229,0.054997,0.029873
26,9553319,0.00127,16.1574,0.08543,0.001987,0.074206,0.054953,0.029790
27,9541153,0.00133,16.0873,0.08940,0.002107,0.074181,0.054905,0.029700
28,9528475,0.00139,16.0139,0.09356,0.002238,0.074154,0.054853,0.029601
29,9515235,0.00146,15.9368,0.09792,0.002379,0.074124,0.054796,0.029492
30,9501381,0.00153,15.8561,0.10248,0.002531,0.074091,0.054733,0.029374
31,9486854,0.00161,15.7716,0.10727,0.002695,0.074055,0.054665,0.029245
32,9471591,0.00170,15.6831,0.11228,0.002872,0.074016,0.054590,0.029104
33,9455522,0.00179,15.5906,0.11751,0.003063,0.073972,0.054507,0.028950
34,9438571,0.00190,15.4938,0.12299,0.003268,0.073925,0.054417,0.028782
35,9420657,0.00201,15.3926,0.12872,0.003488,0.073873,0.054318,0.028600
36,9401688,0.00214,15.2870,0.13470,0.003726,0.073816,0.054211,0.028400
37,9381566,0.00228,15.1767,0.14094,0.003981,0.073754,0.054092,0.028184
38,9360184,0.00243,15.0616,0.14746,0.004255,0.073686,0.053963,0.027948
39,9337427,0.00260,14.9416,0.15425,0.004548,0.073611,0.053822,0.027692
40,9313166,0.00278,14.8166,0.16132,0.004863,0.073529,0.053667,0.027414
41,9287264,0.00298,14.6864,0.16869,0.005201,0.073440,0.053499,0.027112
42,9259571,0.00320,14.5510,0.17636,0.005562,0.073342,0.053314,0.026785
43,9229925,0.00344,14.4102,0.18433,0.005948,0.073234,0.053112,0.026431
44,9198149,0.00371,14.2639,0.19261,0.006361,0.073117,0.052892,0.026048
45,9164051,0.00400,14.1121,0.20120,0.006802,0.072988,0.052652,0.025634
46,9127426,0.00431,13.9546,0.21012,0.007272,0.072847,0.052389,0.025188
47,9088049,0.00466,13.7914,0.21936,0.007773,0.072693,0.052103,0.024708
48,9045679,0.00504,13.6224,0.22892,0.008306,0.072524,0.051791,0.024193
49,9000057,0.00546,13.4475,0.23882,0.008873,0.072339,0.051451,0.023639
50,8950901,0.00592,13.2668,0.24905,0.009476,0.072137,0.051081,0.023047
51,8897913,0.00642,13.0803,0.25961,0.010115,0.071917,0.050678,0.022415
52,8840770,0.00697,12.8879,0.27050,0.010792,0.071676,0.050240,0.021742
53,8779128,0.00758,12.6896,0.28172,0.011509,0.071412,0.049764,0.021027
54,8712621,0.00824,12.4856,0.29327,0.012267,0.071124,0.049247,0.020270
55,8640861,0.00896,12.2758,0.30514,0.013067,0.070810,0.048686,0.019472
56,8563435,0.00975,12.0604,0.31733,0.013911,0.070467,0.048079,0.018632
57,8479908,0.01062,11.8395,0.32984,0.014799,0.070093,0.047422,0.017753
58,8389826,0.01158,11.6133,0.34265,0.015733,0.069685,0.046712,0.016837
59,8292713,0.01262,11.3818,0.35575,0.016713,0.069241,0.045946,0.015887
60,8188074,0.01376,11.1454,0.36913,0.017741,0.068756,0.045120,0.014906
61,8075403,0.01501,10.9041,0.38279,0.018817,0.068229,0.044231,0.013900
62,7954179,0.01638,10.6584,0.39670,0.019941,0.067656,0.043277,0.012875
63,7823879,0.01788,10.4084,0.41085,0.021113,0.067033,0.042254,0.011838
64,7683979,0.01952,10.1544,0.42522,0.022334,0.066356,0.041161,0.010797
65,7533964,0.02132,9.8969,0.43980,0.023603,0.065623,0.039994,0.009760
66,7373338,0.02329,9.6362,0.45456,0.024920,0.064827,0.038753,0.008737
67,7201635,0.02544,9.3726,0.46947,0.026283,0.063966,0.037436,0.007778
68,7018432,0.02779,9.1066,0.48453,0.027692,0.063035,0.036044,0.006774
69,6823367,0.03037,8.8387,0.49970,0.029146,0.062030,0.034577,0.005854
70,6616155,0.03380,8.5693,0.51495,0.030642,0.060946,0.033037,0.004988
71,6396609,0.03626,8.2988,0.53026,0.032178,0.059779,0.031427,0.004186
72,6164663,0.03962,8.0278,0.54560,0.033754,0.058525,0.029751,0.003453
73,5920394,0.04330,7.7568,0.56093,0.035364,0.057181,0.028017,0.002796
74,5664051,0.04731,7.4864,0.57624,0.037008,0.055743,0.026231,0.002219
75,5396081,0.05169,7.2170,0.59149,0.038681,0.054207,0.024403,0.001722
76,5117152,0.05647,6.9493,0.60665,0.040380,0.052571,0.022546,0.001304
77,4828182,0.06168,6.6836,0.62168,0.042102,0.050835,0.020671,0.000961
78,4530360,0.06737,6.4207,0.63656,0.043842,0.048997,0.018794,0.000688
79,4225163,0.07356,6.1610,0.65126,0.045595,0.047057,0.016931,0.000477
80,3914365,0.08030,5.9050,0.66575,0.047359,0.045019,0.015100,0.000319
81,3600038,0.08764,5.6533,0.68000,0.049127,0.042886,0.013319,0.000205
82,3284542,0.09561,5.4063,0.69398,0.050896,0.040662,0.011606,0.000127
83,2970496,0.10428,5.1645,0.70767,0.052660,0.038357,0.009981,0.000075
84,2660734,0.11369,4.9282,0.72104,0.054415,0.035979,0.008459,0.000042
85,2358246,0.12389,4.6980,0.73407,0.056157,0.033540,0.007056,0.000022
86,2066090,0.13494,4.4742,0.74674,0.057880,0.031056,0.005783,0.000011
87,1787299,0.14689,4.2571,0.75903,0.059579,0.028544,0.004650,0.000005
88,1524758,0.15981,4.0470,0.77092,0.061251,0.026021,0.003661,0.000002
89,1281083,0.17375,3.8442,0.78241,0.062892,0.023511,0.002817,0.000001
90,1058491,0.18877,3.6488,0.79346,0.064496,0.021036,0.002113,0.000000
91,858676,0.20493,3.4611,0.80409,0.066061,0.018621,0.001541,0.000000
92,682707,0.22227,3.2812,0.81427,0.067583,0.016290,0.001091,0.000000
93,530959,0.24086,3.1091,0.82401,0.069059,0.014069,0.000747,0.000000
94,403072,0.26073,2.9450,0.83330,0.070486,0.011979,0.000493,0.000000
95,297981,0.28191,2.7888,0.84214,0.071861,0.010043,0.000313,0.000000
96,213977,0.30445,2.6406,0.85053,0.073183,0.008278,0.000190,0.000000
97,148832,0.32834,2.5002,0.85848,0.074450,0.006697,0.000110,0.000000
98,99965,0.35360,2.3676,0.86599,0.075660,0.005309,0.000060,0.000000
99,64617,0.38020,2.2426,0.87306,0.076813,0.004114,0.000031,0.000000
100,40049,0.40812,2.1252,0.87970,0.077908,0.003112,0.000015,0.000000
101,23705,0.43728,2.0152,0.88593,0.078944,0.002291,0.000007,0.000000
102,13339,0.46761,1.9123,0.89176,0.079921,0.001637,0.000003,0.000000
103,7101,0.49899,1.8164,0.89719,0.080841,0.001133,0.000001,0.000000
104,3558,0.53128,1.7273,0.90223,0.081702,0.000756,0.000000,0.000000
105,1668,0.56429,1.6447,0.90690,0.082506,0.000486,0.000000,0.000000
106,727,0.59783,1.5685,0.91122,0.083253,0.000299,0.000000,0.000000
107,292,0.63164,1.4984,0.91519,0.083946,0.000176,0.000000,0.000000
108,108,0.66545,1.4341,0.91882,0.084584,0.000098,0.000000,0.000000
109,36,0.69897,1.3755,0.92214,0.085169,0.000052,0.000000,0.000000
110,11,0.73187,1.3223,0.92515,0.085704,0.000026,0.000000,0.000000
